Complexity,Loss,Equation
1,0.025138792901341658,"-0.0008334839198992886"
3,0.025120335042451414,"t_cubed * 1.1290076718240654e-11"
5,0.025116833305068923,"(t_squared * 1.3784682531652178e-14) * t_squared"
6,0.023494225374159704,"1.1925513665696013 / (t - 4.394703595628094)"
7,0.01832768721981319,"cos(t) * -0.11412784248741938"
9,0.01242101893825591,"sin(t + 0.7643155079094293) * -0.1545055629462967"
11,0.003880377485829022,"sin((t + 6.392808562095841) * 0.2333017110088995) * -0.2042643843642307"
16,0.003880289705524026,"((sin((t + 6.392991790203818) * 0.23330066228927626) * -0.27259280395143554) / 0.9737763220627927) * 0.7295230775971933"
22,0.0038721335273837797,"sin(sin(sin((t + 6.352113786548943) * 0.2332963587710929) / 1.3472283640516542) * -0.29746176289682946)"
